tabela,linhas
_http_response,0
agent_batch_locks,0
agent_knowledge,0
agent_knowledge_chunks,0
agent_settings,6
agent_stages,0
ai_control,0
ai_organizer_config,0
ai_organizer_runs,12129
ai_pricing_cache,0
ai_token_usage,16
app_settings,0
appointments,0
audit_log_entries,0
auth_sessions,25
automation_logs,0
automations,0
buckets,0
buckets_analytics,0
buckets_vectors,0
campaign_logs,8
campaign_targets,1
campaigns,1
channel_connections,1
chat_buffers,0
chats_dashboard,19
clients,0
contacts,3
extensions,0
flow_state,0
followup_campaigns,1
followup_logs,4
followup_targets,1
historico_ia_leads,6
hooks,0
http_request_queue,0
iceberg_namespaces,0
iceberg_tables,0
identities,0
instances,0
kanban_columns,0
leads_extraidos,0
messages,23
messages,0
messages_2026_08_07,0
messages_2026_08_08,0
messages_2026_08_09,0
messages_2026_08_10,0
messages_2026_08_11,0
messages_2026_08_12,0
messages_2026_08_13,0
mfa_amr_claims,0
mfa_challenges,0
mfa_factors,0
migrations,0
migrations,0
oauth_authorizations,0
oauth_client_states,0
oauth_clients,0
oauth_consents,0
objects,22
one_time_tokens,0
prefixes,1
provider_credentials,0
refresh_tokens,0
s3_multipart_uploads,0
s3_multipart_uploads_parts,0
saml_providers,0
saml_relay_states,0
schema_migrations,0
schema_migrations,0
schema_migrations,0
secrets,0
sessions,0
sessions,6
sso_domains,0
sso_providers,0
subscription,0
tenants,0
users,0
vector_indexes,0
webhook_logs,4817
